Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,Adaptive_NK,Bright_NK,Cytotoxic_NK,Exhausted_TaNK,P-value,Correlation,RMSE,Absolute score (sig.score)
f21b5258-2e93-4fe0-bd98-9eb1216e824b,0.0612512888861213,0,0.300333005559236,0.0655049302321134,0,0.18259251087919,0.115788482187496,0.020210827537253,0,0,0.0344804644369594,0.0470873788183116,0.123304555658851,0.444820455515691,0.0772846552973661,0.0145420956646407,0.0580450687556694,0,0.0563965735939167,0.0438471903489867,0.865416050463974,0.384378868104522,0,0,0,0.673643862989261,0.821188845268473,2.8952844019403
59a0b90e-8b8b-41b8-95f0-d51961a94be5,0.100151103091566,0,0.0741121254806839,0.0279197663541683,0,0.266647351531637,0.0270126351460121,0.00891837344966207,0.0403056667083986,0,0.00476587087418669,0.0884958470145903,0.0771227497224268,0.177269677973088,0.0023561492023187,0.00973808394268548,0.0409927258642934,0.00752231998194161,0,0.011871456756287,0.239534127800336,0.186965387546231,0,0,0,0.613579122591981,0.827628101155187,1.39170141844051
ad3180d3-8ae4-4446-9292-dd0c464b03c9,0.139361034218943,0,0.303375007390401,0.0874133722202921,0,0.234366723488866,0.0703796048656112,0.000659894708607281,0,0,0.0316733718800063,0.124124250695621,0.094261462368276,0.213089337629938,0.020411466515047,0.00300581739005099,0.0410368067236786,0,0,0.00854142376770358,0.219685773773925,0.393834106753959,0,0,0,0.701560222384391,0.802983308849203,1.98521945439093
32e5ef2b-4387-4d2c-8e62-d18b5106414f,0.0347475152364175,0,0.00638839251626278,0.0538610783149351,0,0.205675702897193,0.103670735200985,0,0,0,0.104585746609221,0.17704340249175,0.0267507072854023,0.232594901863492,0.0427390622332679,0.0557598017948104,0.135399305054642,0,0.0107923390456079,0.0192785633610921,0.170174152073208,0.271334072816805,0,0.0761335311701825,0,0.627183835132572,0.821800286230927,1.72692900996527
e9efd91b-8824-456b-b650-1d0287efbbe8,0.0939290863614405,0,0.0255392219305934,0.0842293944492678,0,0.180618632992124,0.0414597364723626,0,0.0463387049956104,0,0,0.14653370528265,0.105876297601024,0.137284908316688,0.0195002052159711,0,0.0633673755786929,0,0,0.0016511132982867,0.512893235854249,0.362928301573534,0,0,0,0.618653203462391,0.82881673008668,1.82214991992249
7eab2708-6708-4f8e-b238-e06007754e7e,0.0496175277859023,0,0.247624262951614,0.0445665356066376,0,0.158639890806168,0,0.00344322280193109,0.0335387301416761,0,0.0114345802079722,0.0367664500508273,0.0323107202134803,0.158715758471137,0.0348976423348695,0.021262331436043,0.0426268209907795,0,0.00659500455119179,0.0117260365297082,0.352033807572374,0.175859282380874,0,0,0,0.56826306097154,0.863306154648908,1.42165860483319
3a8b14d9-c521-48d4-9400-074d752afe1b,0.104962960180564,0,0.0571928198875383,0.00893099526274918,0,0.105026360828459,0,0.00113039383020128,0.102570185459502,0,0.00286036030678432,0.295393994839108,0,0.110083028842355,0,0.135775440517798,0.02871524110599,0,0,0.00400549822372191,0.181761362806184,0.298476978598117,0,0.0487144080272233,0,0.686602661040798,0.784323960979365,1.48560002871629
01ebdef8-920f-4b71-8b44-512598962d6b,0.098420531644257,0,0.359035837449811,0.0529822058003782,0,0.250491379733298,0.0276320621100375,0,0.0969433539263465,0,0.0073109216894086,0.130375928232635,0.0230472451626614,0.0946898128521734,0,0.0111311941092298,0.0363591388852692,0,0,0.0130703274046654,0.218025059550748,0.0530828037337846,0.065086193878455,0,0,0.72335438324881,0.786764742451445,1.53768399616316
af407c3f-2dad-4fb9-850e-4a79b361589b,0.0412123145848475,0,0.293435496858162,0.106412150601372,0,0.108506748286868,0.102573407120144,0.0301145036867086,0.0782680065061508,0,0,0.435630979724034,0.157314550705155,0.180611877956716,0.0099326321245125,0,0,0.011131102114178,0,0.0063793448478707,0.518395708797223,0.183236615055145,0,0,0,0.829093170487743,0.709009705857453,2.26315543896909
96f7dff7-660b-4700-88b3-6479ad02f20c,0.134142745235481,0,0.197540086643283,0.0548246905444591,0,0.215652889643472,0.0707899708637852,0.00971213537719732,0.0363007069810378,0,0.00243823084275073,0.136727654728814,0.10649918798946,0.192513064539182,0.0231893337242627,0,0.00752384360587848,0,0,0.0355667514170533,0.428594487044574,0.301851849002938,0,0,0,0.630362953651592,0.829567567484455,1.95386762818363
