Mixture,B_cells_Memory,B_cells_Naive,CAFs,Cancer_Epithelial,DCs,Endothelial,Macrophage,Monocyte,Myeloid_Cycling,NKT_cells,NK_Bright,NK_Cytotoxic,NK_Exhausted_TaNK,Normal_Epithelial,PVL,Plasmablasts,T_cells_CD4+,T_cells_CD8+,T_cells_Cycling,P-value,Correlation,RMSE,Absolute score (sig.score)
3f579bea-4481-42cd-b433-4f4ff65cf7b0,0,0.0519888508372754,0.274560194444495,0.644933960289897,0,0.0116512230428095,0.245683260880295,0,0.74105307080362,0.0193144477975766,0.0203698910926703,0.174395726569002,0,0,0.051311239783019,0.0852111126280602,0.104214640867343,0.112401654557799,0,0,0.74698187594455,0.702328597053573,2.53708927359386
35a9d225-0988-4e31-9a39-d54f3a63bea8,0.0130298056340844,0.0347152901156679,0.39793199660305,0.564253207296206,0,0.0752947296518371,0.224282068304596,0,0.557042801595689,0,0,0.176171897224822,0,0.0220428559718426,0,0.0828356703298189,0.269684295682664,0.0215102982424325,0,0,0.811518918242711,0.655689797817841,2.43879491665271
06c83065-5800-451a-84a7-7a7f352493ec,0.0210930162173553,0,0.1243971335864,0.910769263616953,0.0887906496148586,0.386890972442058,0.0177962523942878,0,0.253665641996464,0,0,0.100221663709394,0,0,0.0565428464825499,0.130472230997925,0.0417874564330536,0.062233940535929,0,0,0.221002296592607,1.00282734398826,2.19466106802723
b0747254-d7fd-4ec9-96b1-d132540c4b46,0,0.0187425414847833,0.11160345963074,0.872830060533316,0.0596072162454718,0.0508852348755875,0.241291504240723,0,0.258020258546093,0,0.0137409960344209,0.127792943971792,0,0,0,0.0416416398525965,0.10119425024439,0.0187125915081469,0,0,0.65541816747926,0.772103918048169,1.91606269716806
e860f314-beb1-4dfd-adb8-e188f13ca1c8,0,0.0385207781430989,0.14385968419699,0.592513497795701,0,0.0313943576166773,0,0,0.675540292587145,0,0,0.145050674408201,0,0,0.036309550024046,0.114344238628892,0.153476552140651,0.0534497904765886,0,0,0.567967268564465,0.830766889503507,1.98445941601799
77ca7978-5bc4-4264-8ca3-db132049c8a8,0,0.0717469219798079,0.384211829966023,0.607573334470505,0.00839597201358551,0.0407822087915589,0.0770269905991275,0,0.853720790201746,0,0,0.17364165876505,0,0,0.00864708082477601,0.0394733139295514,0.102839513922529,0.083757989371417,0,0,0.765637972182639,0.686406790698798,2.45181760483568
3b21349a-ee41-45bf-87de-19b6cda494d5,0.0427918056674011,0,0.423687638345243,1.00741240549702,0,0.106837250641084,0.0136024090671711,0,0.520517303258128,0.00836166626958795,0,0.102783946687661,0,0,0.0268519380743035,0.0781495285777508,0.0623875672015547,0,0.0838999615492663,0,0.69319903505545,0.743127320815661,2.47728342083617
f6f15b7f-1af0-4da5-8ca5-a4b488d8f412,0,0.0703230406523089,0.702923348850883,0.980270370582385,0.0773779817023448,0.014942882052586,0,0,0.963241772367581,0,0,0.0681157848973919,0.00609409418999176,0,0,0,0.0890444194952707,0.0362408514366694,0,0,0.747992152512907,0.683193845743807,3.00857454622741
60cc41cd-a0af-4cad-a4be-253781e2f0b8,0,0.0360053061167844,0.272831679329852,0.750655368975534,0,0.0516745847046671,0.109216404085318,0.000359012649983349,0.483818020755672,0,0,0.0614792742293088,0.0446659540192693,0,0,0.0251092999022519,0.130415766873775,0,0.0957712453429645,0,0.662073076780573,0.76906349241779,2.06200191698538
962d56c6-0e10-4b55-9c4d-dbb89c983d74,0,0.00793369329091814,0.133404004027048,0.59049326041451,0,0,0,0,0.958150323606255,0.0524462841378831,0,0,0.0477484249977946,0,0.0500461528460757,0.00633069630771348,0,0,0.25265536474933,0,0.48737979699663,0.873197946413691,2.09920820437753
