Mixture,B_cells_Memory,B_cells_Naive,CAFs,Cancer_Epithelial,DCs,Endothelial,Macrophage,Monocyte,Myeloid_Cycling,NKT_cells,NK_Bright,NK_Cytotoxic,Normal_Epithelial,PVL,Plasmablasts,T_cells_CD4+,T_cells_CD8+,T_cells_Cycling,P-value,Correlation,RMSE,Absolute score (sig.score)
d7eb3fb0-7bfe-4f69-b298-41dde09902e6,0.011920369421643,0,1.4415296737387,0.744767142166699,0.0480446475194537,0.155761806795203,0.177344526035151,0,0.162321132594771,0,0.0202276228274019,0.0218482511225605,0.0716393887920902,0,0,0.0363932320853681,0.0130145775965529,0,0,0.782148786498779,0.627645640143758,2.90481237069559
f1d01b35-7a63-48c1-82ae-a9684906ef65,0.00666832867453583,0,0.39652518337824,1.10053582040783,0,0.0837658309093767,0.0668707120875708,0,0.421646399448266,0,0.0243005733972233,0.0527763686680148,0,0.0324938562746514,0.0157547054012074,0.0965222781021949,0.00336229811154247,0,0,0.662567395222321,0.771831999185024,2.30122235486065
034f8d01-f664-494b-bc04-77485000611f,0.103439106693989,0,0.677101977567809,1.35350010904157,0.106137009960964,0.0824549803438109,0.196187048585991,0,0.0491131833276915,0,0.0442951000177957,0,0,0,0,0.00763285091439527,0,0.0566138233083276,0,0.822008309724535,0.63817998573263,2.67647518976235
b35809ed-747b-46b9-9921-e14d859e5b5d,0.0176464388850175,0,0.143062652371568,1.5882273934131,0,0.09495103369405,0,0,0.357894805647084,0.00286257760348972,0.000452962149614103,0.00064380357751801,0.0944371461361993,0.00774420412619379,0.0154036760608913,0.0203961179096632,0.00460398777436552,0,0,0.792027477071712,0.694832184698523,2.34832679934875
9f5a0552-a0a1-4aa7-a32d-7a1951889cdd,0.0860178635283291,0.0109435135863423,0.556040433033641,0.520192782963873,0.128194917712946,0.17138751131907,0.221337770977256,0,0.0893507072958779,0,0,0.111187652888597,0.423557251757581,0,0,0.0653290308309425,0,0.080269344838272,0,0.908498550525828,0.539714116046037,2.46380878073273
bb06ad3a-4d73-4f88-8f3c-954dce2b38ef,0,0.0918488642203099,0.664230761233912,1.17073919320999,0.0333365676679671,0.0407389603825578,0,0,0.461471338099925,0,0.00347165541785294,0.00463449202573794,0.0777386136670015,0,0,0.0606046087570352,0,0,0,0.791200990860239,0.66448700290667,2.60881505468229
752ec80f-0c1d-4c66-9927-a32f2f9dfb2a,0.0545406676296467,0.0139094007794188,1.02233708921305,1.20634136300529,0.0646792382155831,0.0773968930259804,0.0327614449737702,0,0.386111679421118,0,0,0.0318439093345486,0,0,0,0.0138122018107094,0,0,0,0.743466259054147,0.686514097693517,2.90373388740911
0394cdb2-85e8-4cea-b572-4cb4ed779774,0.0163001939785358,0,0.819488015678075,1.02293112643661,0.0181513128010499,0.102377107371315,0.155831129451975,0,0.309840465078411,0,0.0280367956909554,0.0510682817977323,0.187375566467711,0,0,0.0871743591394201,0,0,0,0.871777798797379,0.583348022677989,2.79857435389179
b793fa3a-f197-409f-b630-2dcba3290cce,0,0.0327135255770664,0.546341573381331,1.09589068182989,0.0687050646160679,0.0696354847359459,0,0,0.572829485527227,0,0.042694362773563,0.0218634878927162,0.0752051487617563,0,0,0,0,0,0,0.831407531864362,0.633013034303074,2.52587881509556
22c90647-bf63-49e1-972a-0ff9000b674b,0.0319596593443274,0,0.29333869867391,1.07951819702807,0,0,0,0,0.65224372773935,0.00687596822205278,0.00205925199114964,0.0120560279762965,0.22824825289884,0,0.00425768172042848,0.0164914051419359,0,0.027657316279611,0,0.654123214934486,0.771031849805536,2.35470618701597
4b9da1a6-923c-4bc8-922a-620ac43e6f9b,0.0646497737986442,0,0.280380162408975,1.03960863719982,0.0284485094467412,0.000482861727007058,0.0937152491064864,0,0.348467504010963,0,0.00326074442267921,0.0583006020255114,0,0,0,0.0212991146324906,0,0.0325694183685867,0,0.880616759877778,0.610183876391947,1.9711825771479
0a430a9a-7e63-41d6-8cd0-1dda1e1df975,0.00181641939560382,0.0128273581289383,0.431771091060863,0.953784429742695,0.0203569163508698,0,0,0,0.693418511210329,0,0.012378304131103,0.00673169198397864,0,0.0137153412189983,0.00211881417837322,0.031008022817212,0.0271793572928441,0,0,0.754714001032068,0.693411096197336,2.20710625751181
0dacd83e-7fab-4064-a25c-c1de66be5305,0.027559418392191,0,0.300048046038929,0.845420168960045,0,0.0368931643034207,0,0,0.668192339548107,0.025425034438117,0,0,0.231741325284328,0.0102653176774192,3.05302261451468e-05,0.0516325665341937,0,0.0689729070706671,0,0.694342496102151,0.743414816011577,2.26618081847356
