Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
af58b506-df1d-4221-964d-76dbade6ab85,0.166875911185645,0,0.333945910217563,0.103693382258261,0,0.176138965412034,0.0139706251212726,0.0524948700220743,0.0683828921702388,0,0,0.000825110555224891,0,0.341209947673211,0.0687166575030583,0.340373097188701,0,0.00174186149031574,0.273962217604673,0.0298910971528619,0,0.0071423756310474,0,0.675173531552203,0.777261639094184,1.97936492118618
24e5d229-23d1-49c2-bc00-ad3441b324cc,0.0373288882241234,0.118372388236695,0.0337702912425584,0.20999953444122,0,0.306298447759895,0,0.120399379271022,0.206829365512378,0,0,0.122126761049578,0,0.524812367374862,0.084798154608456,0.876392578519541,0,0,0.382911833255024,0,0,0.0203191909184938,0.204,0.0732188552199882,1.05657736914221,3.04435918041385
69ed2c6f-9495-475c-b8d6-c1db8f4b0537,0.0377294738641201,0,0.078109698722001,0.0852715735018939,0,0.323954036673451,0,0.0991386633026352,0.180702227319375,0,0,0.0442225859142944,0.00356141565604835,0.355671361477935,0.166116820835189,0.236875938995316,0.0556485728813137,0,0.239438440458342,0,0,0.00582312467040908,0,0.681133459583338,0.777904643150681,1.91226393427232
ba6e6579-8858-467a-9d0b-b8df38cd5d62,0.0735661098672954,0.0154215189591551,0.15057195811884,0.131791589430179,0,0.150943319843611,0.00601170296511463,0.110187012420459,0.166242709960354,0.00894228857480168,0,0.0213846263571595,0.0119675124214292,0.137495117129439,0.0847987115089247,0.260617814674673,0.0123989757164899,0.0153358978305752,0.0644676516619298,0,0.00478221487836904,0.00301845528383425,0.00600000000000001,0.301307119190511,0.960025523913232,1.42994518760263
9d0f51bf-a66d-4ea1-8599-2aee772c165b,0.203714157130445,0,0.486936823147226,0.231744227354971,0,0.349885432764549,0.055608134895334,0.142805172308006,0.205925860868563,0,0.0612762960806771,0,0.0296989675627287,0.560632212742341,0.36323796759583,0.367833553319331,0.028019794899909,0.0127759776628935,0.154201755875602,0,0,0,0,0.461001111780881,0.886942304648503,3.25429633420841
3628bc49-6968-47a8-96e4-e47421a7152a,0.14136027983463,0.111850497137037,0.159556376038958,1.06848848086164,0,0.203279254763253,0.348437209797805,0.475846982318713,0.550864344464255,0,0,0.274753049878398,0.066705217620063,1.26785336139593,1.11686657995426,0.70259496363226,0.24297462396857,0,0.434690753818925,0,0,0.0526842840282446,0.002,0.397072403971947,0.918306595412024,7.21880625951295
e17707f9-a0db-473f-9dc6-608b62e74689,0.877291166833863,0,0.522442019817385,1.3515880112723,0,1.43021682362282,0.500540172887304,0.193902600149605,0.471466102508052,0,0.400152039059251,0,0.150067084392191,0.258345791669536,1.104753193487,0.533537710204666,0.0460047388161064,0.00669391623494135,0.197107284579788,0,0,0.0409520160205218,0,0.473452726040918,0.879970705550136,8.08506067155534
0c13d041-ca8d-48cc-ba02-3b7889e5367c,0.121001935174962,0,0.117606905006851,0.205420919046599,0,0.410142290173314,0.0105769422116376,0.158189980960761,0.136732054285932,0,0,0,0.10489778340535,0.21275300733151,0.156729074431874,0.497390723158703,0.0288068339114658,0.0143393335000037,0.245123954649047,0,0,0.00414027149985694,0.002,0.421730451912388,0.906319062802126,2.42385200874787
8909b639-c15f-4935-a698-6de79c3d0433,0.0433764553194486,0,0.120803269486713,0.140634457845869,0,0.399031336953779,0.00629864834380765,0.0957195799254163,0.160103907275238,0,0,0.0285926129888989,0.00795174114505188,0.0977745692719484,0.184305266382833,0.151870313492344,0.0253102246134704,0,0.242352796098152,0,0,0.000996306392247609,0,0.755075021670518,0.72838498926725,1.70512148553522
44df0b54-867f-4aef-8769-5d3fa8887b94,0.143722322181483,0,0.106240645043011,0.0534700708155501,0,0.602768501948239,0.0203281710222136,0.100683641434491,0.0937312717591615,0.01340225262569,0.00581270518405551,0.0147682203599365,0.0519432331742598,0.0660035106875883,0.237097652415523,0.311688722520975,0.0872549898067083,0,0.185121577141697,0,0,0,0,0.576025330417245,0.832093861403919,2.09403748812058
f1060adb-bee8-41f6-8997-2926d8967f33,0.105428815030128,0,0.0468572037959032,0.208352546760459,0,0.237202500475552,0.00134994342312661,0.168174720687431,0.249247561343764,0.0183475140695253,0,0.0433204834556852,0.0221873620480504,0.136716974699307,0.168659476378363,0.172055693320502,0.0587218621009494,0,0.0737659272349091,0,0,0.000883556076911905,0,0.702268635108867,0.751294952416304,1.71127214090057
b161c26d-64b1-4e03-94da-4f9b9de25e88,0.00903269902203855,0.0589747950650229,0.0362181501085217,0.125454958304802,0,0.391141393669636,0,0.0881298678730003,0.140897047594832,0,0,0.0385634245756376,0.0210143919117166,0.353134908539221,0.124138972508593,0.622560864888044,0.237397070143274,0.0839459788711979,0.197907541236454,0.0159041570391818,0,0.0146599629664803,0,0.576314884039366,0.833563484649371,2.55907618431765
071e21e7-a494-4d87-ab48-1cb334e0d992,0.32031093442193,0,1.1817391294277,1.13822262396107,0,1.15561778479963,0.170439632902449,0.492264160563211,0.278770329031585,0,0,0.00866734837853692,0.14622894391382,0.847152031699148,0.691807279923048,0.377551346144836,0.247038817060312,0,0.218141259847659,0,0,0,0.004,0.352183887397498,0.940040488731122,7.27395162207494
fe00aecb-7b06-4e76-b999-99ee41ad20ea,0.0506474095133043,0.114763353670677,0.145866772838359,0.158558644471788,0,0.271172839241824,0.0186746303380227,0.306257733781424,0.271193418301997,0,0.0643380307372769,0,0.00425795179316003,0.395940124496042,0.209850244408252,0.332557041079298,0.0607016577845838,0,0.122482350057726,0,0,0.0135650676490929,0,0.470349987399185,0.882827773412824,2.54082727016283
11d450a3-4578-4444-8ddf-613b5868b683,0.0563380190032857,0,0.210160350259973,0.411600848589662,0,0.376724662211322,0.0114628308329117,0.20869764986719,0.152699133363227,0.0347054388392106,0,0,0.02171956882436,0.103969134794671,0.20588082529962,0.223007149227065,0.0101120970563243,0,0.314357402652703,0,0,0.00574769124266422,0,0.581486921800248,0.824398119224785,2.34718280206419
f6f90b5a-51c6-4402-aab5-081f5e2931a0,0.345657038858974,0,0.223014092120692,0.289596145209617,0,0.800703628794681,0.0115998364595671,0.0127682110386592,0.0161632189286915,0,0,0.0115629130536114,0.026374775035559,0,0.206440229885068,0.500273218704821,0.177662557054314,0.0504365468022406,0.118989890751315,0.063016238274873,0,0.00510219294696427,0,0.572117860740956,0.833283636936162,2.85936073391965
48e1886c-614d-4e2c-bf34-936fd82969c1,0.153820492966356,0,0.138586099902141,0.20134824958831,0,0.608490385395431,0.0456709833791806,0.174907957720251,0.161364446002949,0,0,0.0413852170822376,0.00725695807132662,0.371586182273063,0.257184248574737,0.424982121956139,0.082915279496368,0,0.525497020186227,0,0,0.00948105985179301,0,0.681882797859086,0.783833889259978,3.20447670244651
c93e78f6-1c35-4139-a6b4-c29c229c8b68,0.213065084931402,0,0.203827789459682,0.132158444543365,0,0.405603802734191,0.057914072469253,0.039905978410803,0.101829969380336,0,0.0880639932666662,0,0,0.558521988904333,0.269639749932238,0.261321258674078,0,0,0.299512672351295,0.00771328309555266,0,0.0142438115746437,0,0.642367221302463,0.798828293241311,2.65332189972784
1ec0a33c-5b2e-4078-8226-48026f7d5c82,0.0361341795631073,0,0.0575690192593539,0.470696491329805,0,0.361937218688581,0.113968660365619,0.329683428033968,0.163768177154397,0,0.046318062417553,0.0146207773134774,0.0155114592440893,0.141884134826321,0.318805563360916,0.118097191635167,0.0103748951157889,0.018128331660499,0.118445927604547,0,0,0.0108568159645945,0.002,0.428377604175216,0.906209051151861,2.34680033353778
9c1779d3-6e10-413b-9df9-a9378862d8c4,0.0694807233481944,0,0.165781995260389,0.0688736370120672,0,0.269697779464993,0.0348909466390304,0.13593303889449,0.111290154602171,0,0.0445423250691507,0,0.00919883380725297,0.186119355056376,0.17850105147374,0.221818531191821,0.00480710343304204,0,0.268480601908665,0,0,0.00426240772275384,0,0.551482929300911,0.846892050569979,1.77367848488414
b4b81763-61bc-469b-a048-eba733193262,0.230366372053094,0.123183470867795,0.1775329651602,0.37974427843725,0,0.210393813605704,0,0.252891690770735,0.453515548145508,0,0,0.128501772468338,0,0.740907798089066,0.158791193932985,0.295216480028443,0.0290927941714303,0,0.366043452918578,0,0,0.00333249081259827,0,0.59325903533315,0.821848981446801,3.54951412146172
0a72c39e-889a-4990-bf96-6c7b9b8c1124,0.0936613737370709,0,0.659384522700388,0.760630166779162,0,0.455124590799893,0.218876005528014,0.379523154777546,0.260288920951305,0.169684357509432,0.0356497026059326,0,0,0.194569557394589,0.324859438159996,0.792406643666853,0.096650927675005,0,0,0.111638516410849,0.0222788061669968,0.0312074624670271,0.002,0.404333830451472,0.914302384938764,4.60643414733006
3c9c665e-9327-45f0-b412-224e8948deb2,0.057443456333764,0,0.116912599687361,0.1050144322903,0,0.151984793373046,0.00480490536701553,0.104500727733599,0.120617833096244,0,0.0171219747932505,0.0102002249459662,0.00613262905220498,0.242084586675678,0.0626570721299705,0.194062155184223,0.0380373372669051,0.0337064975937764,0.092881196947044,0.00301583078579746,0.00782361648172249,0.00279219882272408,0,0.441996617418639,0.896932580608366,1.37179406856059
