names,scores,logfoldchanges,pvals,pvals_adj
DHRS7,9.352102,0.38446003,8.592296044826646e-21,5.019970139571489e-19
BRD2,9.352078,0.3946381,8.594182926265574e-21,5.019970139571489e-19
FKBP2,9.348913,0.46890303,8.855256649639025e-21,5.15017146437842e-19
RCN2,9.346294,0.5028498,9.077206137840805e-21,5.256598387033732e-19
EIF3L,9.342348,0.3927025,9.422087924708507e-21,5.43300138325179e-19
G3BP1,9.3354845,0.46912163,1.0053078294983066e-20,5.772178103583255e-19
SNRPC,9.331917,0.4704697,1.0397294531900633e-20,5.9445209796159e-19
SEC11C,9.325493,0.5143037,1.1046921684854863e-20,6.289287522942897e-19
TCEA1,9.315279,0.4125604,1.2163295010141616e-20,6.895770570245412e-19
RNF149,9.312175,0.43556756,1.2524168221915338e-20,7.070652795744922e-19
LRRFIP1,9.292732,0.3848979,1.5037695174369615e-20,8.45431754115705e-19
OTUB1,9.288318,0.44550514,1.5674594057414954e-20,8.775821477871368e-19
VDAC2,9.282572,0.41117275,1.6543677071647448e-20,9.224125401972686e-19
NDUFV2,9.279583,0.45061585,1.7014253280662882e-20,9.447461708476718e-19
CNBP,9.277483,0.40954673,1.7352889059058665e-20,9.596005412863875e-19
ARF4,9.275138,0.41178665,1.7738910044062757e-20,9.769433192838318e-19
SF3A1,9.266037,0.54891264,1.931908683162342e-20,1.0596440594272147e-18
MRPS34,9.261029,0.4948433,2.0247178069390647e-20,1.106053334778494e-18
KHDRBS1,9.258537,0.4232803,2.072521029711997e-20,1.1276018650767732e-18
FAM177A1,9.254279,0.4009588,2.15680662529716e-20,1.1687466584391398e-18
NUTF2,9.248557,0.5685349,2.275439790751502e-20,1.2281003638644006e-18
JTB,9.241004,0.3835339,2.4419450967320475e-20,1.3127157446297019e-18
PRDX5,9.239048,0.38680494,2.4869960441854748e-20,1.3316284771505798e-18
PSMD2,9.231852,0.5488129,2.6599282545467364e-20,1.418593357256882e-18
TECR,9.228873,0.4044735,2.7349331852148964e-20,1.4528524987442754e-18
BUD31,9.215279,0.3926282,3.104701341798888e-20,1.642813145289898e-18
SLBP,9.212412,0.53016704,3.1887834683985406e-20,1.6807130991836529e-18
LDHB,9.19343,0.39819333,3.8050899240914243e-20,1.990003036657581e-18
TSEN54,9.190641,0.45874262,3.9050482806344325e-20,2.034394457552139e-18
CTSC,9.188869,0.39542678,3.969932598605702e-20,2.0602423289610283e-18
ACP1,9.186874,0.41725764,4.044209494790684e-20,2.0907478434180345e-18
RAB2A,9.166047,0.40447167,4.9068344083655293e-20,2.527019720308248e-18
OPTN,9.16544,0.4252234,4.9345251673055454e-20,2.5316177978119284e-18
SF3B2,9.164676,0.3803527,4.969595706756699e-20,2.539952836032884e-18
CD55,9.163007,0.40351546,5.047103544997493e-20,2.5698327597226854e-18
G3BP2,9.15865,0.41970047,5.255040344207923e-20,2.6656488482856204e-18
IMP3,9.1568165,0.45133996,5.3451076364646607e-20,2.7011811737384892e-18
PKM,9.151806,0.4274986,5.598940673984188e-20,2.818899496793606e-18
EMC4,9.136126,0.45926702,6.473002190091771e-20,3.2348229092928988e-18
TWF2,9.125365,0.4505417,7.149480040654777e-20,3.5597023685813614e-18
PSMB3,9.120716,0.38477355,7.462980345883078e-20,3.702132125257366e-18
HMGN2,9.1187105,0.40929163,7.6023198803057e-20,3.7574396390096996e-18
PITHD1,9.111935,0.48229566,8.092562833146109e-20,3.985144171811695e-18
PDCD6,9.110052,0.41993642,8.23421092780143e-20,4.040153019957261e-18
PYURF,9.108562,0.39439422,8.348071650350363e-20,4.0811786513832405e-18
CD99,9.102205,0.4343041,8.851599818465174e-20,4.3117197238465916e-18
C1orf43,9.101007,0.4348232,8.949777307453951e-20,4.343861338470366e-18
OSBPL8,9.085344,0.44153917,1.0337124113547628e-19,4.999240704806385e-18
PUF60,9.084397,0.43030223,1.0427444909775471e-19,5.024911220271444e-18
RAD23A,9.080085,0.41565102,1.0849061490950068e-19,5.2094799536437464e-18
NDUFB6,9.075517,0.48655304,1.131394084450662e-19,5.4134398515931854e-18
SH3BGRL3,9.0705805,0.35017666,1.1838448857550769e-19,5.644388354591255e-18
TMOD3,9.065623,0.50968546,1.2389431086703102e-19,5.8862885089043994e-18
EIF3A,9.057749,0.40568867,1.3317104420131913e-19,6.304831225994383e-18
MAT2A,9.057244,0.48041064,1.3378716056164533e-19,6.311853697406575e-18
RNF167,9.056516,0.41612595,1.3468351001331671e-19,6.332002092716664e-18
PHB,9.035462,0.44909406,1.633100569793798e-19,7.624882336630507e-18
POLD4,9.03546,0.5482973,1.6331364376241137e-19,7.624882336630507e-18
GLUD1,9.032548,0.519288,1.677210003419869e-19,7.803653302118722e-18
CCT5,9.030157,0.47886732,1.71426133630957e-19,7.948635123994856e-18
SDF2L1,9.02819,0.4641242,1.7453542988986255e-19,8.06509094350656e-18
CANX,9.02306,0.4052628,1.8290795724328603e-19,8.42312992178723e-18
PRPF40A,9.019165,0.40372923,1.8952800813471176e-19,8.649134041476001e-18
YWHAQ,9.019044,0.38244915,1.8973865532327108e-19,8.649134041476001e-18
BST2,9.018612,0.38369387,1.9048748770960464e-19,8.65403256453096e-18
SYNGR2,9.014703,0.5899021,1.974044407616441e-19,8.938181608043167e-18
MAT2B,9.011443,0.40422523,2.0336166276896115e-19,9.177120119537099e-18
SKAP1,9.009649,0.37757182,2.067164384809861e-19,9.297416348079819e-18
RHEB,9.005171,0.44954175,2.1533114747291714e-19,9.62705922091737e-18
SF3B4,9.005098,0.5252057,2.1547260688631483e-19,9.62705922091737e-18
PAK2,8.995025,0.38687846,2.361797527136949e-19,1.0482807247914097e-17
HNRNPUL1,8.992375,0.39223182,2.4194459592381444e-19,1.0703470271475502e-17
DBNL,8.989997,0.44547528,2.4723711049276557e-19,1.0901863829669561e-17
