names,scores,logfoldchanges,pvals,pvals_adj,Overlapping_Ref_Blood_Subtypes
COTL1,5.5002737,0.33561298,3.792026345698768e-08,2.8175006322969973e-07,NK2
ARPC3,5.4182544,0.33729938,6.018376779667761e-08,4.34256459294423e-07,NK1C
EIF3G,5.4124765,0.28149328,6.215893467773579e-08,4.47789912229946e-07,NKint
SPOCK2,5.1054535,0.26753435,3.30002074401376e-07,2.139701100383357e-06,NK1A
TNFRSF18,5.0412474,0.27831987,4.625067446820249e-07,2.9175331958833857e-06,NK2
CD320,4.991751,0.33657333,5.983426150577696e-07,3.684818304415557e-06,NK3
CD74,4.958781,0.28667918,7.09369502996406e-07,4.307615978366565e-06,"NK2, NKint"
CAPG,4.735137,0.40755263,2.189070783551495e-06,1.2190314520206488e-05,NK2
LIME1,4.5153213,0.6731076,6.3220822500533705e-06,3.258359656224986e-05,NK3
ANXA5,4.511014,0.3048009,6.4518527075155945e-06,3.3201696637112094e-05,NK3
CXCR3,3.492782,0.3109398,0.0004780164170781,0.0017851855841782,NK2
COL6A2,2.3776588,0.42828336,0.0174229341030982,0.0462581184682927,NK3
