names,scores,logfoldchanges,pvals,pvals_adj
TXNL4A,6.1105604,0.43811825,9.928176356289817e-10,3.871701837439841e-08
AHNAK,6.1071076,0.31741354,1.014527140601556e-09,3.944961010990431e-08
FKBP1A,6.1053996,0.34025788,1.0254365078131525e-09,3.967202790054135e-08
PPP1R18,6.1052923,0.31985593,1.0261274540346054e-09,3.967202790054135e-08
CD300A,6.103064,0.3495542,1.0405410647027527e-09,4.011434453152641e-08
LMNB1,6.099641,0.49903336,1.0630712105236528e-09,4.0866153400557403e-08
CCND3,6.0960994,0.32982266,1.0868776106503207e-09,4.166261250143403e-08
UBE2L6,6.091764,0.36097753,1.1167323454297775e-09,4.268574939627192e-08
POLR2E,6.0912113,0.37443498,1.12059474163436e-09,4.271238657873565e-08
EIF4H,6.089157,0.3435777,1.1350670834605563e-09,4.3142141287699405e-08
CYFIP2,6.087414,0.35159153,1.1474916565757482e-09,4.349186775892295e-08
STK10,6.0798583,0.3334745,1.202888386839162e-09,4.546378992610872e-08
FASLG,6.076426,0.46811348,1.2289061164136436e-09,4.6317402873657244e-08
MAGOH,6.0727167,0.34005553,1.2576408516890975e-09,4.726837886306683e-08
RHOC,6.0660367,0.31319168,1.311051541311355e-09,4.913894013031698e-08
RALGAPA1,6.0623174,0.3553216,1.3417426219764886e-09,5.01499534579744e-08
AOAH,6.043046,0.3224437,1.5123144480997743e-09,5.636922333759739e-08
NDUFS5,6.04257,0.31149095,1.5167843226104294e-09,5.6380085027500066e-08
COX16,6.0327053,0.59854317,1.61237243020001e-09,5.9427220778939026e-08
DEK,6.0323043,0.31854153,1.6163781239065162e-09,5.9427220778939026e-08
KDELR1,6.0277257,0.50058895,1.662828039703341e-09,6.09688552709706e-08
GTF3C6,6.0216703,0.40635273,1.7262599547269246e-09,6.31231045233886e-08
CAPN2,6.0156817,0.3558451,1.7913139280298862e-09,6.516360381150651e-08
DNTTIP2,6.0156446,0.36300996,1.7917214121447356e-09,6.516360381150651e-08
APH1A,6.0121875,0.380843,1.8303643257930083e-09,6.639006948366952e-08
PRSS23,5.98986,0.351716,2.1002175855380313e-09,7.597382273904733e-08
YBX1,5.9863024,0.3323985,2.1466488245138774e-09,7.730366399944808e-08
ATP6V0B,5.986167,0.32883805,2.148438004876086e-09,7.730366399944808e-08
UQCRQ,5.984789,0.31270906,2.1667041245407597e-09,7.775356051177785e-08
NDUFAB1,5.9840803,0.3817579,2.176159761919029e-09,7.788573917128239e-08
GPI,5.9756846,0.51517624,2.2912563762785634e-09,8.178815419345676e-08
EMC4,5.9745307,0.37630263,2.3075316996588723e-09,8.21517815923408e-08
TBRG1,5.97226,0.37785554,2.339892247842371e-09,8.287855859068143e-08
LBH,5.9722366,0.32849184,2.3402305508819107e-09,8.287855859068143e-08
PITHD1,5.97133,0.39784577,2.3532702456824176e-09,8.31221869764211e-08
RAD21,5.968906,0.33824402,2.388497565911088e-09,8.414620798130108e-08
ATP6V1F,5.963542,0.3040597,2.4682828632717094e-09,8.650530045227318e-08
IDH2,5.9573216,0.35606307,2.5640560603875955e-09,8.962903736479229e-08
VIM,5.955173,0.32334626,2.5979711461114705e-09,9.057990871959191e-08
RAB27A,5.951733,0.33825478,2.653174650778579e-09,9.226619990452413e-08
TMEM179B,5.946568,0.4010089,2.7382263563191727e-09,9.497914711006323e-08
CCT7,5.9441247,0.36729404,2.779378505467602e-09,9.615936967762655e-08
EIF3L,5.9383187,0.31142125,2.8796016614098634e-09,9.937203380410047e-08
RAB11B,5.9340816,0.38732642,2.954946089713678e-09,1.0171195813394554e-07
NUCB1,5.933208,0.34563884,2.9707237909776435e-09,1.0180360369342787e-07
