names,scores,logfoldchanges,pvals,pvals_adj
ENO1,4.077259,20.579128,4.5569717498936516e-05,0.00305403741686789
DUSP23,4.0628624,9.551699,4.8474566504980896e-05,0.003200047600062896
POLR2E,4.0600038,8.871745,4.907189843286126e-05,0.003221179566464321
OFD1,4.05936,7.474066,4.9207395416657965e-05,0.003221179566464321
AKAP13,4.057854,3.7836714,4.952568152228702e-05,0.003221179566464321
TMEM230,4.054129,10.022144,5.032143628200852e-05,0.0032609030731863315
CLEC2B,4.043858,13.010606,5.257878738882959e-05,0.0033947022216685363
PSMB9,4.025901,26.51339,5.67575982583583e-05,0.0036385189379183475
EID1,4.025858,15.990223,5.676799659182716e-05,0.0036385189379183475
FNTA,4.0208607,8.841708,5.798587532061873e-05,0.003703112457975456
POLR2G,4.015227,10.852093,5.938863044424753e-05,0.0037790036108675345
MATK,4.0130763,16.355333,5.993253522582901e-05,0.003799895201044828
YME1L1,4.006674,11.667912,6.157985237042065e-05,0.0038903457988567545
CD53,4.0023723,35.49874,6.271048678622068e-05,0.003947625143192592
PRPF40A,4.0010796,11.108154,6.305419428608598e-05,0.003955136044436126
FKBP1A,3.999688,9.040884,6.342608094959541e-05,0.003964354974530386
LSM1,3.998013,9.591634,6.387641459467921e-05,0.0039783946418580065
APH1A,3.9967017,8.330974,6.423117683669655e-05,0.003986403953956385
PPP6R1,3.9889786,12.657522,6.635837268298754e-05,0.004103974304948556
PSMB6,3.9799645,5.484502,6.892554022823336e-05,0.004232877953189969
YWHAZ,3.9795933,26.880716,6.903324161401977e-05,0.004232877953189969
ARHGAP25,3.9791465,9.602121,6.916310283210661e-05,0.004232877953189969
VPS51,3.977353,8.589346,6.96866664076673e-05,0.004250163259866933
XIST,3.9746473,7.3640456,7.04836056303441e-05,0.004272016930751079
CALM3,3.9675534,6.861811,7.261424674950995e-05,0.004369689659159634
HNRNPR,3.9674752,5.07352,7.263809543479934e-05,0.004369689659159634
WDR1,3.9616926,9.147937,7.442031186649924e-05,0.004461674887615359
UBE2V1,3.9568865,8.557821,7.593299624184766e-05,0.004536932175453583
NSMCE1,3.9524982,10.812585,7.73395309348957e-05,0.004605360041413755
SEPTIN7,3.9501197,21.677277,7.811211991706762e-05,0.0046357044634957375
MICOS10,3.9488187,4.795941,7.853778220307752e-05,0.004637328921191434
RNF7,3.947582,5.7111874,7.894446729897325e-05,0.004637328921191434
CD74,3.9475777,28.948347,7.894591709369311e-05,0.004637328921191434
LBR,3.9468327,9.754212,7.919187593774093e-05,0.004637328921191434
TWF2,3.9446874,5.0052676,7.990418563061778e-05,0.004663546940149897
MRPS36,3.9416306,6.6507564,8.092952760809794e-05,0.004703359883748471
MYDGF,3.9410667,6.4667974,8.11200161499793e-05,0.004703359883748471
DNAJC15,3.9393225,10.411882,8.171199929402501e-05,0.004722149834611426
DCXR,3.9367032,11.018412,8.260869457067605e-05,0.004743460955790707
EIF2S2,3.93658,9.048743,8.265107753140461e-05,0.004743460955790707
APOL6,3.935447,7.8997054,8.304196621179897e-05,0.004743460955790707
NPRL2,3.9349606,10.326254,8.321032895430436e-05,0.004743460955790707
ABI3,3.9343379,9.189523,8.342635290452282e-05,0.004743460955790707
NUDC,3.9333756,7.492678,8.376119513704419e-05,0.004747185934037109
NAA38,3.9287393,7.6523046,8.539237602625489e-05,0.004824121858457591
CDC123,3.9254794,9.331147,8.655716865647295e-05,0.004869705824689103
GZMM,3.9247458,inf,8.682135548305394e-05,0.004869705824689103
STOM,3.924173,9.4987135,8.702810250635808e-05,0.004869705824689103
MRPS6,3.9201808,8.757383,8.848259582338268e-05,0.004935424791085263
ALDOA,3.9116678,9.155156,9.166088899410419e-05,0.00508271591853094
ETFA,3.910906,8.550518,9.195048284214943e-05,0.00508271591853094
PLAAT4,3.910807,33.58685,9.198833416608249e-05,0.00508271591853094
WSB1,3.907452,11.084329,9.327456521583726e-05,0.005137679645294836
PSMB1,3.901314,13.049083,9.567190217719032e-05,0.005253311363785535
CDKN1B,3.897729,12.880182,9.709903456112343e-05,0.0053151167179328
ARPC1B,3.8958113,24.210587,9.787054564672361e-05,0.005340762345415326
RNF167,3.8934162,7.739745,9.884235732338427e-05,0.0053771462659937385
DCTN3,3.8923175,5.988284,9.929115416154258e-05,0.005384941179234921
TAPBPL,3.886266,7.6906395,0.00010179799278479063,0.005470400673246096
CD38,3.8851788,9.761433,0.00010225463250628562,0.00547823754576228
ELOB,3.8835444,13.235464,0.0001029447089805732,0.005498495274216919
MCRIP1,3.8791718,8.08041,0.0001048126540701431,0.005569009891162265
SEC11A,3.8789766,5.434729,0.00010489681628650132,0.005569009891162265
MAPRE2,3.875935,7.679499,0.00010621603716484272,0.005618182500433686
PPP2R1A,3.8749719,10.633974,0.0001066370309056156,0.005618182500433686
TMEM179B,3.8746474,9.363499,0.00010677925437678911,0.005618182500433686
DGUOK,3.8723366,6.0443997,0.00010779696256861478,0.005654848994745249
BUB3,3.8701868,7.7991085,0.00010875198793644519,0.005676065561354572
ARHGDIA,3.8698473,7.8258605,0.00010890355055492544,0.005676065561354572
CCT3,3.869257,5.110845,0.00010916749264150686,0.005676065561354572
PDAP1,3.8676307,8.183643,0.00010989793486926801,0.005697238235310936
SELENOW,3.864589,5.837298,0.00011127639970872746,0.005751782467055808
SOD1,3.862033,11.187836,0.00011244741710671362,0.005781928431692489
UBE2B,3.8614085,4.6825123,0.00011273528435049474,0.005781928431692489
NDUFB8,3.8611736,7.6500626,0.0001128437183990818,0.005781928431692489
CCDC85B,3.859899,6.3073516,0.00011343390405446835,0.005795321718446549
PSMD4,3.8583236,5.2688503,0.00011416741182008372,0.005815938730464727
RNF113A,3.851966,12.703433,0.00011717335864962859,0.0059518663387848805
SF3B2,3.846967,7.8660145,0.00011958902446706123,0.006057115359932245
TAF7,3.841723,4.95337,0.0001221737127928768,0.006168808982251231
COPZ1,3.84108,6.196619,0.00012249422125201016,0.006168808982251231
WDR83OS,3.8393524,7.406802,0.0001233592714510592,0.006194673842154898
C9orf16,3.8275025,12.200371,0.0001294501248230742,0.006482067898100868
RTN4,3.821435,6.5083504,0.0001326774367737448,0.006624851276413671
KLRC1,3.8188198,23.738659,0.0001340916399048573,0.006663987110532657
ARHGAP30,3.8182735,9.982023,0.00013438882615829465,0.006663987110532657
RAB27A,3.8178945,8.429536,0.00013459545054746546,0.006663987110532657
LSM10,3.8113134,5.464885,0.00013823041903132094,0.006824788139624826
GSTP1,3.8074625,27.416937,0.0001404000556662848,0.006906208031286863
TRAPPC6A,3.8065054,5.5630813,0.00014094419807252076,0.006906208031286863
VDAC2,3.8063111,9.23898,0.00014105496943511123,0.006906208031286863
PARP1,3.799904,8.658086,0.00014475213745662307,0.007067593282023375
ILF2,3.796258,5.833,0.00014689657602616604,0.007149873309111672
SEPTIN6,3.7956643,8.048752,0.00014724861064379535,0.007149873309111672
PAK2,3.7941408,7.895985,0.00014815554299167993,0.0071718819901487076
TMC6,3.7930958,7.0326715,0.00014878065712090358,0.0071718819901487076
ATP6AP2,3.7928593,5.4851575,0.0001489225467147638,0.0071718819901487076
HDAC1,3.79154,4.646913,0.00014971609140264182,0.007190451844858214
PLEKHJ1,3.7881315,5.5229173,0.00015178454717273206,0.00726998485996352
CDK2AP2,3.7868595,9.675928,0.0001525632843870178,0.00728748089595007
NDUFS6,3.7842171,3.767133,0.0001541931142037162,0.007342666120397818
UFC1,3.7836394,10.216555,0.0001545517491584926,0.007342666120397818
TCEA1,3.782406,10.016305,0.00015531968244578064,0.0073593137709390575
IL10RA,3.7803066,5.8168244,0.00015663540949388495,0.007401757983215056
TOMM6,3.7775438,8.477418,0.00015838273336600463,0.007464315663928336
ST13,3.774189,10.8486595,0.00016052910548485698,0.0075452960354029045
JPT1,3.7724552,4.869691,0.00016164900671196368,0.00757772710719434
COX6B1,3.771165,19.210936,0.00016248730815376979,0.007596820407210467
CD2BP2,3.7678154,7.350354,0.00016468247940265384,0.0076773501753159374
TOMM5,3.767212,5.5625896,0.0001650808871238364,0.0076773501753159374
ITGB1BP1,3.7654545,8.022608,0.00016624643706194045,0.00769097034029859
SRSF3,3.7634823,4.530505,0.0001675635427339699,0.007731609958714539
GABARAP,3.761571,22.666325,0.00016884947577845978,0.00776907349493909
